Age,Income,LoanAmount,LoanTerm,CreditScore,EmploymentYears,ExistingLoans,Dependents,Education,SelfEmployed,PropertyArea,MaritalStatus,DebtToIncomeRatio,Loan_Approved
41,41591.0,153399.0,60,676.0,4.5,3,2.0,Graduate,No,Urban,Married,0.738,0
29,29777.0,69689.0,240,830.0,4.6,1,1.0,Graduate,No,Semiurban,Married,0.117,1
59,56375.0,218485.0,60,705.0,3.3,0,0.0,Graduate,No,Urban,Single,0.775,0
38,37830.0,226623.0,120,797.0,8.5,1,0.0,Graduate,Yes,Semiurban,Married,0.599,0
24,44636.0,133286.0,24,744.0,0.3,0,0.0,Graduate,No,Urban,Single,1.493,0
45,78653.0,251434.0,84,773.0,8.5,1,1.0,Graduate,Yes,Rural,Married,0.457,1
34,68907.0,141670.0,120,678.0,3.4,0,3.0,Graduate,No,Semiurban,Married,0.206,1
29,33467.0,212380.0,84,697.0,0.7,0,2.0,Graduate,No,Urban,Married,0.907,0
46,62742.0,20166.0,24,673.0,10.8,2,1.0,Graduate,Yes,Rural,Married,0.161,0
22,57921.0,178274.0,180,650.0,5.2,1,0.0,Graduate,Yes,Rural,Married,0.205,0
40,92437.0,128281.0,60,717.0,0.9,3,0.0,Graduate,No,Urban,Single,0.278,1
48,85429.0,162442.0,240,603.0,0.2,4,1.0,Graduate,No,Rural,Single,0.095,0
27,21258.0,158855.0,180,820.0,0.8,1,2.0,Graduate,No,Rural,Single,0.498,0
28,73945.0,160056.0,180,566.0,4.7,0,0.0,Graduate,No,Rural,Single,0.144,0
55,82834.0,199256.0,360,723.0,1.0,3,1.0,Graduate,No,Rural,Single,0.08,0
34,67306.0,104786.0,12,774.0,1.3,0,3.0,Not Graduate,No,Semiurban,Single,1.557,0
37,47621.0,195526.0,120,634.0,0.1,1,2.0,Not Graduate,No,Semiurban,Married,0.411,0
56,108095.0,248602.0,120,550.0,6.4,0,2.0,Graduate,No,Rural,Married,0.23,1
24,69331.0,37189.0,120,754.0,8.3,2,2.0,Not Graduate,Yes,Semiurban,Married,0.054,0
22,98484.0,87557.0,120,668.0,8.0,4,0.0,Graduate,No,Semiurban,Married,0.089,1
26,84733.0,90917.0,180,723.0,0.7,1,0.0,Graduate,No,Urban,Single,0.072,1
24,65211.0,62636.0,120,640.0,11.7,0,3.0,Not Graduate,Yes,Rural,Married,0.096,0
49,42247.0,112024.0,12,806.0,5.6,3,2.0,Not Graduate,Yes,Semiurban,Married,2.652,0
38,54470.0,232649.0,36,459.0,11.4,3,1.0,Not Graduate,No,Semiurban,Married,1.424,0
46,50118.0,265807.0,24,684.0,3.0,0,0.0,Graduate,No,Semiurban,Married,2.652,0
54,28281.0,158494.0,120,771.0,2.9,1,2.0,Graduate,Yes,Urban,Married,0.56,0
30,69306.0,124061.0,240,659.0,7.7,3,0.0,Graduate,Yes,Urban,Married,0.09,0
56,89482.0,214234.0,36,677.0,0.5,1,0.0,Graduate,Yes,Semiurban,Married,0.798,0
34,48437.0,20000.0,240,611.0,3.7,0,0.0,Graduate,No,Semiurban,Married,0.021,1
51,102600.0,65586.0,240,652.0,9.1,0,1.0,Not Graduate,No,Rural,Married,0.032,1
35,20733.0,20000.0,84,500.0,8.9,1,0.0,Graduate,No,Semiurban,Married,0.138,1
28,78196.0,64744.0,240,585.0,15.6,2,0.0,Graduate,Yes,Rural,Married,0.041,1
34,91773.0,88639.0,120,579.0,6.0,0,2.0,Graduate,No,Urban,Married,0.097,0
43,50511.0,268215.0,84,710.0,1.2,1,1.0,Graduate,Yes,Rural,Married,0.759,0
41,50907.0,20000.0,360,599.0,0.1,2,1.0,Graduate,No,Urban,Single,0.013,0
36,77941.0,116664.0,180,601.0,3.3,3,1.0,Not Graduate,No,Semiurban,Married,0.1,1
38,66132.0,199565.0,240,616.0,3.6,1,4.0,Graduate,No,Semiurban,Single,0.151,0
44,15000.0,182858.0,12,583.0,1.4,0,0.0,Graduate,No,Urban,Single,3.0,0
46,36446.0,266939.0,24,674.0,0.7,0,0.0,Not Graduate,No,Urban,Single,3.0,0
45,54702.0,162884.0,240,684.0,4.4,1,2.0,Not Graduate,No,Urban,Married,0.149,1
49,24867.0,179942.0,360,724.0,7.2,0,0.0,Not Graduate,No,Semiurban,Married,0.241,0
35,44568.0,20000.0,60,709.0,24.9,5,1.0,Not Graduate,No,Urban,Married,0.09,1
21,25417.0,70938.0,360,700.0,7.1,0,1.0,Graduate,No,Rural,Married,0.093,1
45,46856.0,20000.0,60,620.0,7.9,2,4.0,Not Graduate,No,Urban,Single,0.085,0
27,47594.0,195809.0,360,615.0,4.8,1,3.0,Graduate,No,Rural,Married,0.137,0
29,62739.0,177895.0,180,572.0,21.3,1,4.0,Not Graduate,No,Urban,Single,0.189,0
44,52981.0,175083.0,24,570.0,5.1,3,0.0,Graduate,No,Urban,Single,1.652,0
21,66061.0,79485.0,360,667.0,9.8,1,3.0,Graduate,No,Urban,Married,0.04,0
28,63438.0,72164.0,60,585.0,14.6,0,0.0,Graduate,Yes,Rural,Single,0.228,1
44,77689.0,166756.0,240,782.0,13.3,2,2.0,Graduate,No,Semiurban,Married,0.107,1
31,74223.0,96449.0,180,647.0,2.4,0,2.0,Graduate,No,Urban,Married,0.087,1
37,71899.0,68368.0,180,785.0,0.4,2,0.0,Graduate,No,Urban,Married,0.063,1
28,123307.0,109329.0,240,701.0,0.9,0,2.0,Not Graduate,No,Urban,Single,0.044,1
55,62643.0,97141.0,12,580.0,0.3,1,0.0,Graduate,Yes,Semiurban,Married,1.551,0
55,112059.0,80662.0,84,644.0,0.6,1,0.0,Graduate,No,Urban,Single,0.103,1
53,64069.0,51939.0,24,499.0,1.0,0,3.0,Not Graduate,No,Rural,Married,0.405,1
25,53177.0,185895.0,24,667.0,2.1,2,0.0,Graduate,No,Semiurban,Married,1.748,0
59,46790.0,274484.0,12,588.0,3.9,1,0.0,Graduate,No,Rural,Married,3.0,0
48,88214.0,146880.0,84,550.0,6.2,4,1.0,Graduate,No,Semiurban,Married,0.238,0
27,91091.0,167795.0,24,787.0,1.2,2,3.0,Graduate,No,Urban,Married,0.921,0
29,68195.0,192910.0,60,743.0,,2,0.0,Not Graduate,No,Rural,Married,0.566,0
28,79938.0,179325.0,36,740.0,6.1,0,1.0,Not Graduate,No,Urban,Single,0.748,0
32,26901.0,82247.0,36,720.0,4.1,1,3.0,Graduate,No,Semiurban,Married,1.019,0
54,20927.0,287588.0,24,539.0,11.7,0,0.0,Graduate,No,Rural,Single,3.0,0
53,82419.0,89415.0,120,614.0,0.6,1,0.0,Graduate,No,Urban,Married,0.108,1
43,52210.0,201847.0,24,619.0,1.0,2,2.0,Graduate,No,Semiurban,Married,1.933,0
44,71485.0,192415.0,240,496.0,2.8,2,1.0,Graduate,Yes,Urban,Married,0.135,1
57,39220.0,20000.0,240,600.0,0.7,2,3.0,Graduate,No,Urban,Married,0.025,0
55,91454.0,121292.0,84,601.0,,5,0.0,Graduate,No,Urban,Single,0.189,1
42,21111.0,154530.0,180,661.0,2.5,1,3.0,Graduate,No,Urban,Single,0.488,1
47,24517.0,160652.0,60,878.0,1.7,1,4.0,Graduate,Yes,Semiurban,Single,1.311,1
55,86775.0,174114.0,12,648.0,0.9,1,0.0,Graduate,No,Rural,Single,2.006,0
21,15000.0,210613.0,24,661.0,2.0,0,0.0,Not Graduate,No,Semiurban,Single,3.0,0
55,63329.0,149399.0,60,627.0,4.7,1,4.0,Graduate,No,Semiurban,Married,0.472,0
57,52639.0,178369.0,12,716.0,4.3,4,1.0,Not Graduate,No,Semiurban,Single,3.0,0
34,38809.0,146404.0,240,553.0,0.9,1,1.0,Not Graduate,No,Rural,Married,0.189,0
23,50601.0,68613.0,360,821.0,0.7,1,2.0,Graduate,No,Rural,Married,0.045,0
21,36354.0,152592.0,60,639.0,0.1,2,2.0,Graduate,No,Rural,Single,0.839,0
25,88930.0,209927.0,36,614.0,0.1,2,3.0,Graduate,No,Rural,Married,0.787,0
46,94699.0,238703.0,24,737.0,10.6,1,0.0,Graduate,No,Urban,Single,1.26,0
34,39914.0,192985.0,84,570.0,0.2,0,0.0,Graduate,No,Semiurban,Married,0.691,0
59,61062.0,256748.0,36,715.0,6.6,0,3.0,Not Graduate,No,Semiurban,Single,1.402,0
47,25848.0,183509.0,180,776.0,10.3,2,3.0,Not Graduate,Yes,Semiurban,Married,0.473,0
29,78607.0,219110.0,120,628.0,0.5,2,2.0,Graduate,No,Semiurban,Married,0.279,0
35,78034.0,224991.0,12,835.0,2.9,1,4.0,Not Graduate,No,Urban,Married,2.883,0
35,48504.0,132132.0,240,708.0,16.4,0,2.0,Graduate,No,Urban,Single,0.136,1
46,55371.0,208080.0,24,709.0,9.0,2,0.0,Not Graduate,No,Rural,Married,1.879,0
33,52937.0,74748.0,84,773.0,,3,3.0,Graduate,No,Semiurban,Married,0.202,0
52,19394.0,177985.0,360,797.0,7.2,2,1.0,Graduate,No,Urban,Married,0.306,0
59,89012.0,196162.0,240,674.0,9.0,2,0.0,Graduate,No,Urban,Married,0.11,1
52,38127.0,234088.0,24,722.0,2.1,1,0.0,Not Graduate,No,Semiurban,Single,3.0,0
24,38277.0,215661.0,360,776.0,11.1,1,2.0,Graduate,No,Semiurban,Married,0.188,1
50,51691.0,235129.0,84,545.0,3.2,1,4.0,Graduate,No,Semiurban,Married,0.65,0
57,76902.0,142050.0,120,494.0,3.8,4,0.0,Not Graduate,No,Urban,Married,0.185,0
43,41991.0,122369.0,36,645.0,35.0,0,0.0,Not Graduate,Yes,Urban,Married,0.971,0
59,15000.0,128008.0,36,492.0,,0,1.0,Graduate,No,Semiurban,Married,2.845,0
35,35486.0,171303.0,240,622.0,2.2,1,3.0,Not Graduate,Yes,Semiurban,Single,0.241,0
49,64331.0,20000.0,24,678.0,0.1,1,2.0,Graduate,No,Urban,Single,0.155,1
56,103175.0,256541.0,24,625.0,4.9,0,1.0,Graduate,No,Urban,Married,1.243,1
33,27282.0,153510.0,84,637.0,6.1,2,2.0,Graduate,Yes,Semiurban,Married,0.804,0
52,26477.0,116800.0,120,560.0,5.3,2,0.0,Graduate,No,Rural,Single,0.441,0
27,21723.0,20000.0,24,721.0,17.2,0,1.0,Graduate,No,Urban,Married,0.46,1
42,18992.0,147055.0,84,554.0,9.9,4,0.0,Graduate,No,Semiurban,Married,1.106,0
48,81525.0,134122.0,180,461.0,,0,3.0,Graduate,Yes,Rural,Married,0.11,0
22,87883.0,78236.0,240,631.0,0.3,1,0.0,Graduate,No,Rural,Married,0.045,1
26,58911.0,96156.0,180,732.0,3.2,0,2.0,Graduate,No,Rural,Single,0.109,1
48,44710.0,147869.0,240,657.0,5.8,1,0.0,Graduate,No,Semiurban,Single,0.165,1
48,94405.0,102941.0,360,545.0,4.7,4,1.0,Graduate,Yes,Urban,Married,0.036,0
40,58826.0,195750.0,84,659.0,3.9,1,0.0,Graduate,No,Semiurban,Single,0.475,0
50,78968.0,90097.0,84,689.0,3.2,1,0.0,Not Graduate,No,Semiurban,Married,0.163,1
31,43638.0,162369.0,60,658.0,1.7,3,0.0,Graduate,No,Semiurban,Married,0.744,0
48,55973.0,244404.0,360,626.0,1.6,0,2.0,Graduate,No,Semiurban,Married,0.146,0
45,27778.0,147072.0,84,694.0,3.5,2,1.0,Graduate,No,Semiurban,Single,0.756,1
59,68843.0,178478.0,24,494.0,0.9,0,2.0,Graduate,No,Rural,Married,1.296,1
53,59201.0,173412.0,240,570.0,2.1,5,1.0,Graduate,No,Urban,Married,0.146,0
21,35320.0,150640.0,180,533.0,2.0,0,1.0,Not Graduate,Yes,Urban,Single,0.284,0
47,35616.0,144639.0,240,771.0,4.4,1,1.0,Graduate,Yes,Semiurban,Single,0.203,1
33,90551.0,104290.0,36,714.0,0.3,1,4.0,Graduate,,Urban,Single,0.384,1
23,98377.0,162081.0,60,667.0,8.9,1,1.0,Graduate,Yes,Semiurban,Married,0.33,1
59,50311.0,127339.0,84,519.0,4.1,1,0.0,Not Graduate,No,Urban,Single,0.362,0
26,56491.0,273687.0,120,717.0,5.6,1,3.0,Graduate,Yes,Semiurban,Married,0.484,1
28,63803.0,214891.0,12,775.0,6.1,1,0.0,Graduate,No,Semiurban,Single,3.0,0
47,58257.0,33776.0,60,701.0,1.7,0,3.0,Graduate,No,Urban,Single,0.116,1
29,18165.0,38227.0,84,647.0,3.2,1,0.0,Not Graduate,No,Urban,Single,0.301,1
57,64413.0,139563.0,180,707.0,15.6,0,2.0,Graduate,No,Urban,Single,0.144,1
53,15000.0,118376.0,84,675.0,7.3,1,0.0,Graduate,,Urban,Married,1.127,0
44,38881.0,135344.0,12,733.0,17.5,1,3.0,Not Graduate,No,Semiurban,Single,3.0,0
35,66119.0,202093.0,180,731.0,6.9,3,1.0,Not Graduate,No,Semiurban,Married,0.204,0
52,68200.0,175259.0,240,630.0,1.0,0,0.0,Graduate,No,Semiurban,Single,0.128,1
52,37178.0,174450.0,180,591.0,0.3,0,0.0,Not Graduate,Yes,Semiurban,Single,0.313,0
44,44914.0,265696.0,60,614.0,4.3,1,1.0,Graduate,No,Urban,Married,1.183,0
32,41936.0,38889.0,240,698.0,2.2,1,2.0,Graduate,Yes,Rural,Married,0.046,0
59,52737.0,158315.0,84,619.0,1.6,0,1.0,Graduate,Yes,Urban,Single,0.429,0
22,54411.0,103676.0,360,582.0,8.2,1,0.0,Graduate,No,Rural,Married,0.064,0
23,69706.0,264835.0,84,650.0,,2,1.0,Graduate,No,Semiurban,Married,0.543,0
57,43628.0,20000.0,12,750.0,1.9,1,1.0,Graduate,No,Semiurban,Married,0.458,0
37,63215.0,20000.0,360,662.0,9.5,0,0.0,Not Graduate,No,Semiurban,Married,0.011,1
22,66154.0,174371.0,84,625.0,9.4,0,0.0,Not Graduate,No,Rural,Single,0.377,1
22,59362.0,240104.0,120,679.0,2.2,1,2.0,Graduate,No,Rural,Married,0.404,1
48,49289.0,211860.0,60,658.0,8.9,4,4.0,Graduate,No,Semiurban,Married,0.86,0
43,58974.0,85922.0,120,476.0,9.5,3,0.0,Graduate,No,Urban,Single,0.146,0
57,71538.0,270514.0,240,713.0,2.8,1,2.0,Graduate,,Rural,Single,0.189,0
52,73462.0,51483.0,36,687.0,0.3,1,0.0,Graduate,No,Urban,Married,0.234,1
53,94938.0,254599.0,84,651.0,0.0,1,1.0,Graduate,No,Rural,Married,0.383,1
21,33219.0,62062.0,24,746.0,3.7,0,,Graduate,No,Semiurban,Single,0.934,0
39,45320.0,121854.0,24,759.0,2.1,0,0.0,Graduate,No,Rural,Married,1.344,0
22,19504.0,201142.0,180,722.0,29.3,1,1.0,Not Graduate,No,Rural,Single,0.688,0
46,75482.0,32703.0,120,573.0,7.4,1,3.0,Not Graduate,Yes,Urban,Single,0.043,0
52,47641.0,267522.0,60,577.0,7.2,2,4.0,Graduate,No,Semiurban,Married,1.123,0
26,59536.0,121364.0,84,751.0,15.5,0,0.0,Graduate,No,Urban,Single,0.291,1
52,41705.0,160982.0,12,481.0,10.9,0,0.0,Graduate,No,Urban,Married,3.0,0
24,47813.0,242976.0,180,637.0,1.9,2,4.0,Graduate,No,Semiurban,Married,0.339,1
31,81910.0,86550.0,240,690.0,0.9,0,0.0,Graduate,No,Urban,Single,0.053,1
37,70273.0,234865.0,360,492.0,6.8,4,2.0,Graduate,No,Semiurban,Married,0.111,0
58,52547.0,281243.0,240,671.0,2.4,0,0.0,Graduate,No,Rural,Single,0.268,1
44,71892.0,97554.0,84,736.0,3.2,1,1.0,Graduate,No,Semiurban,Single,0.194,1
25,72378.0,259551.0,36,516.0,5.0,1,0.0,Graduate,Yes,Urban,Married,1.195,0
54,46389.0,20000.0,360,799.0,11.9,0,3.0,Graduate,Yes,Rural,Single,0.014,0
26,22680.0,181168.0,120,559.0,2.7,1,3.0,Graduate,No,Rural,Married,0.799,0
42,35218.0,51712.0,84,702.0,7.6,0,0.0,Not Graduate,No,Semiurban,Married,0.21,0
31,25508.0,225405.0,36,642.0,1.6,2,3.0,Not Graduate,No,Semiurban,Single,2.946,0
36,80618.0,218836.0,120,656.0,6.0,1,1.0,Graduate,Yes,Rural,Married,0.271,0
53,84439.0,316190.0,36,534.0,0.0,0,0.0,Graduate,No,Urban,Single,1.248,0
29,89900.0,263703.0,120,763.0,10.3,1,2.0,Not Graduate,No,Rural,Single,0.293,0
26,15000.0,136738.0,60,679.0,0.2,2,1.0,Graduate,No,Rural,Married,1.823,0
36,78571.0,63460.0,24,796.0,6.2,0,0.0,Not Graduate,No,Rural,Married,0.404,1
49,103668.0,195255.0,240,537.0,0.2,0,0.0,Graduate,No,Urban,Married,0.094,1
23,79464.0,145141.0,60,634.0,1.5,1,4.0,Not Graduate,No,Rural,Single,0.365,0
40,15000.0,274092.0,360,669.0,3.4,2,3.0,Not Graduate,No,Semiurban,Married,0.609,0
56,93903.0,20000.0,180,655.0,,1,3.0,Graduate,No,Semiurban,Married,0.014,1
39,55917.0,325045.0,24,710.0,1.1,1,0.0,Graduate,No,Rural,Married,2.906,1
46,49887.0,192559.0,60,633.0,2.0,1,2.0,Graduate,No,Urban,Married,0.772,0
23,64924.0,84959.0,84,841.0,6.5,1,0.0,Graduate,No,Urban,Single,0.187,1
39,31922.0,208719.0,36,654.0,5.5,0,4.0,Graduate,Yes,Rural,Single,2.179,0
40,55061.0,253794.0,360,390.0,0.4,0,,Graduate,No,Rural,Married,0.154,0
52,90649.0,159148.0,84,658.0,6.9,0,1.0,Graduate,No,Rural,Married,0.251,0
27,68693.0,20000.0,24,764.0,0.3,1,1.0,Graduate,No,Urban,Single,0.146,1
53,56285.0,126492.0,36,567.0,3.9,0,3.0,Not Graduate,Yes,Semiurban,Married,0.749,0
59,56971.0,233152.0,360,561.0,1.5,2,2.0,Graduate,No,Urban,Single,0.136,0
38,29009.0,189733.0,180,574.0,4.4,3,1.0,Graduate,Yes,Rural,Married,0.436,0
21,51700.0,137479.0,24,553.0,1.5,0,1.0,Graduate,,Urban,Married,1.33,1
31,19046.0,254665.0,360,607.0,21.0,2,3.0,Graduate,No,Semiurban,Single,0.446,0
48,77494.0,209144.0,60,732.0,1.9,3,0.0,Graduate,No,Semiurban,Married,0.54,0
45,15000.0,215307.0,360,787.0,1.4,2,3.0,Not Graduate,No,Rural,Married,0.478,0
43,73808.0,117149.0,24,432.0,1.6,2,4.0,Graduate,No,Semiurban,Married,0.794,0
51,76547.0,109409.0,60,616.0,11.3,4,0.0,Graduate,No,Semiurban,Single,0.286,0
50,84013.0,20000.0,84,677.0,5.1,0,0.0,Graduate,No,Urban,Single,0.034,1
55,56911.0,129249.0,24,668.0,6.6,1,0.0,Graduate,Yes,Semiurban,Married,1.136,0
27,75166.0,224831.0,12,821.0,12.5,0,0.0,Not Graduate,No,Semiurban,Single,2.991,0
36,51486.0,133673.0,180,469.0,12.1,0,1.0,Graduate,No,Urban,Married,0.173,1
46,28893.0,185643.0,12,417.0,6.7,3,2.0,Graduate,No,Semiurban,Married,3.0,0
22,88676.0,238896.0,240,836.0,1.1,2,1.0,Graduate,No,Rural,Single,0.135,0
21,52869.0,179827.0,36,718.0,9.3,1,0.0,Not Graduate,No,Urban,Single,1.134,0
32,23991.0,187641.0,120,599.0,1.1,2,2.0,Graduate,No,Urban,Married,0.782,1
25,44730.0,41374.0,180,665.0,6.8,1,2.0,Not Graduate,No,Semiurban,Married,0.062,0
57,45599.0,124195.0,12,672.0,5.8,1,4.0,Graduate,No,Rural,Married,2.724,0
52,65157.0,288130.0,120,596.0,7.1,0,0.0,Graduate,No,Urban,Single,0.442,1
29,106635.0,158304.0,180,663.0,3.8,1,2.0,Graduate,Yes,Rural,Single,0.099,1
55,66493.0,301739.0,120,682.0,,1,3.0,Graduate,No,Rural,Single,0.454,0
39,59551.0,92151.0,60,831.0,15.3,2,1.0,Graduate,No,Urban,Single,0.309,1
36,109027.0,168716.0,12,737.0,0.5,1,1.0,Graduate,No,Urban,Single,1.547,0
23,76536.0,119386.0,360,807.0,1.8,2,0.0,Graduate,No,Semiurban,Single,0.052,1
40,60593.0,197359.0,60,529.0,4.7,4,3.0,Not Graduate,No,Rural,Married,0.651,0
44,44453.0,221601.0,180,619.0,16.6,1,1.0,Graduate,No,Semiurban,Married,0.332,1
53,61956.0,198197.0,180,672.0,0.5,0,3.0,Graduate,No,Semiurban,Married,0.213,1
44,53539.0,233348.0,24,477.0,0.1,0,3.0,Graduate,Yes,Urban,Married,2.179,0
31,57012.0,148946.0,12,756.0,0.3,0,1.0,Graduate,No,Semiurban,Single,2.613,0
28,83917.0,134758.0,240,708.0,0.3,3,1.0,Graduate,No,Semiurban,Single,0.08,1
56,43113.0,20000.0,240,617.0,11.9,2,0.0,Graduate,,Urban,Married,0.023,0
58,66298.0,201076.0,180,633.0,6.4,1,0.0,Graduate,No,Semiurban,Single,0.202,1
40,75877.0,163775.0,240,763.0,5.7,3,2.0,Graduate,Yes,Urban,Married,0.108,1
55,40434.0,144567.0,36,578.0,3.7,0,2.0,Graduate,No,Semiurban,Married,1.192,0
45,36902.0,134735.0,24,766.0,7.6,1,1.0,Not Graduate,No,Urban,Married,1.826,0
55,51692.0,147050.0,180,627.0,0.8,2,3.0,Graduate,Yes,Urban,Married,0.19,0
45,44844.0,131101.0,240,718.0,2.5,3,0.0,Graduate,No,Rural,Married,0.146,1
49,80351.0,107757.0,12,658.0,3.4,2,1.0,Not Graduate,No,Urban,Married,1.341,0
38,32961.0,169167.0,360,851.0,0.6,2,1.0,Graduate,No,Semiurban,Single,0.171,0
38,56506.0,188733.0,60,570.0,2.7,3,0.0,Graduate,No,Urban,Married,0.668,0
22,111013.0,88355.0,60,598.0,1.9,3,4.0,Graduate,No,Urban,Married,0.159,1
55,64087.0,117941.0,36,514.0,,0,2.0,Not Graduate,,Urban,Married,0.613,1
36,67744.0,133630.0,120,551.0,0.7,2,1.0,Not Graduate,Yes,Urban,Single,0.197,0
56,80535.0,150385.0,12,714.0,7.2,1,1.0,Graduate,No,Urban,Married,1.867,0
53,44815.0,139745.0,120,794.0,0.1,1,0.0,Graduate,No,Rural,Single,0.312,0
24,31209.0,202778.0,24,724.0,13.6,0,1.0,Graduate,Yes,Urban,Married,3.0,1
53,58883.0,20000.0,360,650.0,0.5,0,2.0,Graduate,No,Urban,Married,0.011,1
34,60839.0,31997.0,24,570.0,8.0,1,3.0,Graduate,No,Rural,Single,0.263,0
41,19399.0,165486.0,180,731.0,11.4,0,3.0,Not Graduate,Yes,Urban,Married,0.569,0
40,63252.0,101785.0,12,565.0,14.2,1,0.0,Graduate,No,Semiurban,Single,1.609,0
28,78537.0,220739.0,180,529.0,10.1,2,1.0,Graduate,,Urban,Married,0.187,0
27,34915.0,243584.0,84,622.0,1.7,1,0.0,Not Graduate,No,Urban,Single,0.997,0
23,64582.0,168700.0,240,467.0,2.0,2,0.0,Not Graduate,Yes,Semiurban,Single,0.131,0
37,74630.0,64242.0,60,526.0,2.8,0,1.0,Graduate,No,Rural,Married,0.172,1
53,67907.0,234367.0,180,820.0,0.8,1,1.0,Graduate,Yes,Urban,Married,0.23,1
32,69982.0,165912.0,120,509.0,0.1,1,0.0,Graduate,No,Semiurban,Married,0.237,1
42,49614.0,31045.0,84,543.0,10.2,1,2.0,Graduate,No,Urban,Married,0.089,1
42,30195.0,38118.0,60,656.0,4.0,1,2.0,Graduate,No,Urban,Single,0.252,0
50,45163.0,271356.0,180,661.0,4.7,1,0.0,Graduate,No,Rural,Married,0.401,1
58,42107.0,258091.0,84,629.0,13.1,1,2.0,Not Graduate,No,Urban,Married,0.876,0
58,53234.0,20000.0,84,470.0,5.5,0,0.0,Graduate,Yes,Rural,Married,0.054,0
28,79052.0,41377.0,12,726.0,5.9,3,1.0,Graduate,Yes,Urban,Married,0.523,1
47,26140.0,241268.0,24,610.0,7.7,1,3.0,Graduate,No,Rural,Married,3.0,0
47,58174.0,148521.0,84,760.0,0.6,4,1.0,Graduate,No,Semiurban,Married,0.365,0
54,31605.0,206148.0,36,592.0,2.2,0,3.0,Graduate,No,Rural,Single,2.174,0
41,38719.0,145044.0,24,738.0,17.2,0,0.0,Not Graduate,No,Urban,Married,1.873,0
50,67292.0,202359.0,60,767.0,12.8,1,1.0,Not Graduate,No,Rural,Single,0.601,1
53,28821.0,150467.0,60,608.0,10.8,0,1.0,Graduate,No,Semiurban,Married,1.044,0
48,71153.0,114991.0,60,729.0,3.0,0,2.0,Not Graduate,No,Semiurban,Single,0.323,0
